Name,AvatarEnum,QuestIndex,QuestTitle,QuestDescription,XpReward
0,"(Value=""KrishnaMaitreya"")",0,"""The Flute of Union""","""Hear the cosmic vibration in 7 frequencies""",500
1,"(Value=""KrishnaMaitreya"")",1,"""Dance of Rasa Lila""","""Find the hidden gopis across all timelines""",500
2,"(Value=""KrishnaMaitreya"")",2,"""Maitreya's Blockchain Prophecy""","""Decode the genesis message of the future""",500
3,"(Value=""KrishnaMaitreya"")",3,"""Integration of All Paths""","""Complete one quest from each tradition""",500
4,"(Value=""KrishnaMaitreya"")",4,"""ON THE STAR""","""Achieve CL 9 and witness the cosmic vision""",500
5,"(Value=""Rama"")",0,"""The Exile Test""","""Choose between power and dharma""",500
6,"(Value=""Rama"")",1,"""The Golden Deer""","""Illusion vs reality puzzle""",500
7,"(Value=""Rama"")",2,"""Bridge of Faith""","""Build bridge with devotion (mini-game)""",500
8,"(Value=""Rama"")",3,"""Sita's Rescue""","""Strategic rescue mission""",500
9,"(Value=""Rama"")",4,"""Return to Ayodhya""","""Final blessing""",500
10,"(Value=""Sita"")",0,"""The Abduction""","""Protect the innocent""",500
11,"(Value=""Sita"")",1,"""Captivity in Lanka""","""Maintain faith in darkness""",500
12,"(Value=""Sita"")",2,"""Fire Test""","""Purity meter challenge""",500
13,"(Value=""Sita"")",3,"""Earth's Embrace""","""Environmental puzzle""",500
14,"(Value=""Sita"")",4,"""Divine Union""","""Blessing ceremony""",500
15,"(Value=""Hanuman"")",0,"""The Mountain Lift""","""Strength mini-game""",500
16,"(Value=""Hanuman"")",1,"""Ocean Crossing""","""Leap of faith mechanic""",500
17,"(Value=""Hanuman"")",2,"""Lanka Infiltration""","""Stealth mission""",500
18,"(Value=""Hanuman"")",3,"""Tail of Fire""","""Burning Lanka puzzle""",500
19,"(Value=""Hanuman"")",4,"""Rama's Messenger""","""Final devotion test""",500
20,"(Value=""Maitreya"")",0,"""Welcome to ZION""","""Tutorial quest""",500
21,"(Value=""Maitreya"")",1,"""The Round Table""","""Introduce DAO governance""",500
22,"(Value=""Maitreya"")",2,"""Consciousness Mining""","""Explain CL system""",500
23,"(Value=""Maitreya"")",3,"""Humanitarian Tithe""","""Charity mission""",500
24,"(Value=""Maitreya"")",4,"""Golden Egg Prophecy""","""Unlock treasure hunt""",500
25,"(Value=""Saraswati"")",0,"""The Library Initiation""","""Unlock Sacred Library access""",500
26,"(Value=""Saraswati"")",1,"""Bhagavad Gita Quiz""","""Comprehension test""",500
27,"(Value=""Saraswati"")",2,"""Upanishad Meditation""","""Contemplation mini-game""",500
28,"(Value=""Saraswati"")",3,"""Veena of Harmony""","""Music puzzle""",500
29,"(Value=""Saraswati"")",4,"""Blessing of Knowledge""","""Final wisdom test""",500
30,"(Value=""IsisEnamataru"")",0,"""The Throne of Isis""","""Reassemble the scattered ankh fragments""",500
31,"(Value=""IsisEnamataru"")",1,"""Wings of Ma'at""","""Restore balance in the cosmic scale""",500
32,"(Value=""IsisEnamataru"")",2,"""Sistrum of Resonance""","""Attune to the 108 Hz carrier frequency""",500
33,"(Value=""IsisEnamataru"")",3,"""Nile Flood Memory""","""Decode the water-witness memory glyphs""",500
34,"(Value=""IsisEnamataru"")",4,"""Ankh of Life""","""Revive a fallen ally in guild warfare""",500
35,"(Value=""IssobelaGuardian"")",0,"""The Guardian's Vigil""","""Patrol ZION City walls for 24 hours""",500
36,"(Value=""IssobelaGuardian"")",1,"""Shield of Light""","""Defend a territory from 3 enemy raids""",500
37,"(Value=""IssobelaGuardian"")",2,"""Issobela's Oath""","""Swear the Bodhisattva vow of protection""",500
38,"(Value=""IssobelaGuardian"")",3,"""Watchtower Ascension""","""Build 5 consciousness beacons""",500
39,"(Value=""IssobelaGuardian"")",4,"""The Last Stand""","""Win a guild war as the sole defender""",500
40,"(Value=""Shanti"")",0,"""The Way of Ahimsa""","""Resolve 3 conflicts without combat""",500
41,"(Value=""Shanti"")",1,"""Ashram Meditation""","""Complete 7 days of meditation streak""",500
42,"(Value=""Shanti"")",2,"""Gandhi's Salt March""","""Walk the full territory circuit""",500
43,"(Value=""Shanti"")",3,"""Peaceful Resolution""","""Convert an enemy guild to allies""",500
44,"(Value=""Shanti"")",4,"""Non-Violence Mastery""","""Reach CL 6 without any combat XP""",500
45,"(Value=""BronuChrist"")",0,"""The Sacred Sword""","""Find the sword in the Camelot ruins""",500
46,"(Value=""BronuChrist"")",1,"""Crusade of Truth""","""Defeat 10 adharmic shadow creatures""",500
47,"(Value=""BronuChrist"")",2,"""Holy Strike Trial""","""Land a perfect righteous combat combo""",500
48,"(Value=""BronuChrist"")",3,"""Warrior Priest Ordination""","""Heal and fight in the same battle""",500
49,"(Value=""BronuChrist"")",4,"""Fight for Truth, Not Ego""","""Win a duel without taking damage""",500
50,"(Value=""Arjuna"")",0,"""The Dilemma""","""Moral choice: fight family or abandon duty?""",500
51,"(Value=""Arjuna"")",1,"""Krishna's Teaching""","""Bhagavad Gita dialogue tree""",500
52,"(Value=""Arjuna"")",2,"""The Battlefield""","""Strategy combat""",500
